Unnamed: 0,id,league_id,home_team,away_team,home_team_name,away_team_name,home_goals,away_goals,home_team_players_name,home_team_players_id,away_team_players_name,away_team_players_id
20,18867391,384,109,397,Fiorentina,Empoli,0,2,"['Pietro Terracciano', 'Nikola Milenković', 'Giacomo Bonaventura', 'Arthur', 'Nicolás González', ""M'Bala Nzola"", 'Lucas Martínez Quarta', 'Alfred Duncan', 'Michael Kayode', 'Fabiano Parisi', 'Josip Brekalo']","[129203, 178032, 128736, 219920, 215532, 436159, 334576, 129152, 37600942, 37289275, 32535]","['Sebastian Walukiewicz', 'Alberto Grassi', 'Francesco Caputo', 'Liberato Cacace', 'Razvan Marin', 'Matteo Cancellieri', 'Tyronne Ebuehi', 'Nicolò Cambiaghi', 'Youssef Maleh', 'Sebastiano Luperto', 'Tommaso Baldanzi', 'Etrit Berisha']","[1452150, 129447, 130873, 324712, 64202, 37544805, 25335, 34443308, 132249, 129968, 37343968, 129456]"
21,18867390,384,4070,8513,Frosinone,Bologna,0,2,"['Riccardo Marchizza', 'Caleb Okoli', 'Simone Romagnoli', 'Reinier', 'Luca Garritano', 'Matías Soulé', 'Anthony Oyono', 'Luca Mazzitelli', 'Enzo Barrenechea', 'Walid Cheddira', 'Stefano Turati']","[129823, 28176047, 129155, 31607851, 129480, 37529822, 35280474, 130046, 37347355, 37260212, 2511148]","['Riccardo Orsolini', 'Remo Freuler', 'Joshua Zirkzee', 'Lewis Ferguson', 'Michel Aebischer', 'Charalampos Lykogiannis', 'Łukasz Skorupski', 'Lorenzo De Silvestri', 'Sam Beukema', 'Riccardo Calafiori', 'Alexis Saelemaekers']","[132126, 130145, 9605680, 6648042, 198220, 52794, 129418, 127629, 3187861, 23278684, 538861]"
22,18867389,384,102,708,Genoa,Atalanta,0,2,"['Morten Thorsby', 'Radu Drăguşin', 'Albert Guðmundsson', 'Mattia Bani', 'Nicola Leali', 'Ruslan Malinovskyi', 'Caleb Ekuban', 'Stefano Sabelli', 'Johan Vásquez', 'Morten Frendrup', 'Ridgeciano Haps']","[25120, 23715982, 28454, 132132, 109321, 62872, 133599, 131637, 1525399, 11705287, 24935]","['Rafael Tolói', 'Ademola Lookman', 'Éderson', 'Marten de Roon', 'Charles De Ketelaere', 'Berat Djimsiti', 'Matteo Ruggeri', 'Marco Carnesecchi', 'Giorgio Scalvini', 'Davide Zappacosta', 'Gianluca Scamacca']","[129921, 5321, 545244, 1717, 23269660, 132671, 24837941, 22878016, 37343966, 129440, 30178]"
23,18867388,384,109,597,Fiorentina,Napoli,3,0,"['Pietro Terracciano', 'Nikola Milenković', 'Giacomo Bonaventura', 'Arthur', 'Jonathan Ikoné', ""M'Bala Nzola"", 'Lucas Martínez Quarta', 'Alfred Duncan', 'Michael Kayode', 'Fabiano Parisi', 'Josip Brekalo']","[129203, 178032, 128736, 219920, 96608, 436159, 334576, 129152, 37600942, 37289275, 32535]","['Alex Meret', 'Natan', 'Victor Osimhen', 'Mathías Olivera', 'Piotr Zielinski', 'Matteo Politano', 'Giovanni Di Lorenzo', 'Leo Østigård', 'Stanislav Lobotka', 'Khvicha Kvaratskhelia', 'Frank Anguissa']","[129638, 37402346, 455805, 260904, 129072, 129926, 132721, 524309, 27850, 1479337, 96804]"
24,18867387,384,1628,7743,Monza,Salernitana,2,0,"['Luca Caldirola', 'Roberto Gagliardini', 'Lorenzo Colombo', 'Michele Di Gregorio', 'Pablo Marí', 'Andrea Colpani', 'Matteo Pessina', ""Danilo D'Ambrosio"", 'Georgios Kyriakopoulos', 'Samuele Vignato', 'Patrick Ciurria']","[23987, 129396, 32777439, 752045, 186159, 16120895, 367822, 129208, 109096, 37568801, 132539]","['Flavius Daniliuc\xa0', 'Emil Bohinen\xa0', 'Boulaye Dia', 'Guillermo Ochoa', 'Grigoris Kastanos', 'Jovane Cabral', 'Norbert Gyomber', 'Pasquale Mazzocchi', 'Antonio Candreva', 'Lorenzo Pirola\xa0', 'Mateusz Legowski']","[3862381, 152755, 2206688, 95174, 133987, 163034, 129686, 430097, 128451, 23288050, 24817087]"
25,18867411,384,585,102,Cagliari,Genoa,2,1,"['Edoardo Goldaniga', 'Alberto Dossena', 'Marco Mancosu', 'Matteo Prati', 'Pantelis Chatzidiakos', 'Gaetano Oristanio', 'Jakub Jankto', 'Simone Scuffet', 'Tommaso Augello', 'Antoine Makoumbou', 'Zito Luvumbo']","[129860, 133218, 128294, 37565251, 26719, 23288059, 129824, 129635, 366753, 540694, 37341868]","['Josep Martínez', 'Aarón Martín', 'Koni De Winter', 'Radu Drăguşin', 'Kevin Strootman', 'Albert Guðmundsson', 'Ruslan Malinovskyi', 'Stefano Sabelli', 'Johan Vásquez', 'Morten Frendrup', 'Milan Badelj']","[529414, 186983, 37316934, 23715982, 23596, 28454, 62872, 131637, 1525399, 11705287, 31670]"
26,18867410,384,8513,43,Bologna,Lazio,1,0,"['Stefan Posch', 'Riccardo Orsolini', 'Remo Freuler', 'Joshua Zirkzee', 'Lewis Ferguson', 'Michel Aebischer', 'Charalampos Lykogiannis', 'Łukasz Skorupski', 'Sam Beukema', 'Riccardo Calafiori', 'Alexis Saelemaekers']","[33770, 132126, 130145, 9605680, 6648042, 198220, 52794, 129418, 3187861, 23278684, 538861]","['Patric', 'Felipe Anderson', 'Mattéo Guendouzi', 'Pedro', 'Luis Alberto', 'Alessio Romagnoli', 'Valentin Castellanos', 'Manuel Lazzari', 'Nicolò Rovella', 'Adam Marušić', 'Ivan Provedel']","[129706, 129454, 97087, 1923, 827, 129202, 524055, 131999, 30482209, 62427, 132128]"
27,18867409,384,2930,708,Inter,Atalanta,1,1,"['Yann Sommer', 'Denzel Dumfries', 'Stefan de Vrij', 'Marcus Thuram', 'Lautaro Martínez', 'Francesco Acerbi\xa0', 'Hakan Calhanoglu', 'Henrikh Mkhitaryan', 'Nicolò Barella', 'Benjamin Pavard', 'Federico Dimarco']","[32193, 26027, 24015, 99000, 333594, 128873, 31825, 1835, 130117, 35574, 129842]","['Juan Musso', 'Teun Koopmeiners', 'Ademola Lookman', 'Éderson', 'Marten de Roon', 'Berat Djimsiti', 'Matteo Ruggeri', 'Sead Kolašinac', 'Giorgio Scalvini', 'Davide Zappacosta', 'Gianluca Scamacca']","[333616, 29184, 5321, 545244, 1717, 132671, 24837941, 31661, 37343966, 129440, 30178]"
28,18867408,384,8513,2714,Bologna,Sassuolo,1,1,"['Riccardo Orsolini', 'Remo Freuler', 'Joshua Zirkzee', 'Kevin Bonifazi', 'Lewis Ferguson', 'Michel Aebischer', 'Charalampos Lykogiannis', 'Łukasz Skorupski', 'Lorenzo De Silvestri', 'Sam Beukema', 'Riccardo Calafiori', 'Alexis Saelemaekers']","[132126, 130145, 9605680, 132025, 6648042, 198220, 52794, 129418, 127629, 3187861, 23278684, 538861]","['Martin Erlić', 'Andrea Pinamonti', 'Domenico Berardi', 'Nedim Bajrami', 'Gian Marco Ferrari', 'Matías Viña', 'Jeremy Toljan', 'Daniel Boloca', 'Kristian Thorstvedt', 'Armand Laurienté', 'Andrea Consigli']","[133712, 134034, 129553, 198736, 129971, 456276, 31855, 741626, 12016844, 432840, 128446]"
29,18867407,384,113,597,Milan,Napoli,2,2,"['Davide Calabria', 'Olivier Giroud', 'Rafael Leão', 'Christian Pulišić', 'Tijjani Reijnders', 'Mike Maignan', 'Theo Hernández', 'Pierre Kalulu', 'Fikayo Tomori', 'Rade Krunić', 'Yunus Musah']","[129769, 798, 540251, 32438, 3156873, 96227, 186995, 14726357, 4655, 129749, 28575698]","['Alex Meret', 'Natan', 'Mário Rui', 'Eljif Elmas', 'Amir Rrahmani\xa0', 'Piotr Zielinski', 'Matteo Politano', 'Giovanni Di Lorenzo', 'Stanislav Lobotka', 'Khvicha Kvaratskhelia', 'Giacomo Raspadori']","[129638, 37402346, 129604, 338180, 49420, 129072, 129926, 132721, 27850, 1479337, 13238937]"
